id,slug,case_title,case_number,case_topics,case_author,news_org,faculty_notes,related_cases,redtext,teaser,description,price,pdf,abstract,teaching_note,epilogue,banner,abstract_img,thumb,link_color,title_color,authentication,faculty_only,layout,linked_cases,category_id,status_id,createdOn,school
1,Settle or fight?,Settle or fight? <i> Far Eastern Economic Review </i> and Singapore,CSJ-08-0006.0,international; ethics; media business,Julia Ioffe,Far Eastern Economic Review ,,22,,,"<p>_x000d_
	<i><img align=""right"" alt="""" src=""/casestudy/files/photos/240/feer.gif"" />CSJ-08-0006.0</i><br />_x000d_
	This case is about the challenge faced by the <em>Far Eastern Economic Review</em> (FEER) and its parent, Dow Jones, when in 2006 FEER ran afoul of Singapore&rsquo;s leaders and its government. The case traces the history of the media, both domestic and international, in Singapore.</p>_x000d_
<p>_x000d_
	<strong>This is a FREE case.</strong><br />_x000d_
	<br />_x000d_
	Epilogue, Teaching Note</p>_x000d_
<p>_x000d_
	<b>Topics: </b>international; ethics; media business</p>_x000d_
",0.00,FEER Text.pdf,feer.jpg,FEER Teaching Note.pdf,FEER Epilogue FINAL 091010.pdf,knightcase_logo.jpg,feer.jpg,,#cc3333,#cc3333,no,,standard,,17,1,11/10/2008,
2,Frontline,"<i>Frontline</i>'s ""The Last Abortion Clinic"": What's Fair in a Video World?",CSJ-08-0005.0,documentary; editorial decisionmaking; broadcast,Kirsten Lundberg,Frontline,,"30, 16",,,"<p>_x000d_
	<i><img align=""right"" alt="""" src=""/casestudy/files/photos/241/frontline.gif"" />CSJ-08-0005.0</i><br />_x000d_
	This case takes students behind the scenes into the making of a news documentary for <em>Frontline</em>, produced at the PBS affiliate in Boston (WGBH). The case tells the story of the making of &ldquo;The Last Abortion Clinic,&rdquo; a 2005 documentary by producer Raney Aronson and her team.<br />_x000d_
	<br />_x000d_
	<strong>This is a FREE case.</strong></p>_x000d_
<p>_x000d_
	Epilogue, Teaching Note</p>_x000d_
<p>_x000d_
	<b>Topics: </b>documentary; editorial decisionmaking</p>_x000d_
",0.00,Frontline Text.pdf,frontline.jpg,Frontline Teaching Note.pdf,Frontline Epilogue.pdf,knightcase_logo.jpg,frontline.jpg,,#006699,#006699,no,,standard,,17,1,11/10/2008,
9,New England Cable News Video,New England Cable News and the Terry Glenn Story (Video),CSJ-08-0004.0,ethics; editorial decisionmaking; broadcast,David Mizner,New England Cable News,,21,,,"<p>_x000d_
	<strong><img align=""right"" alt="""" src=""/casestudy/files/photos/250/necn_video.jpg"" /></strong><i>CSJ-08-0004.0<br />_x000d_
	</i>This text+video case is about how a news organization, New England Cable News (NECN), handles the arrival of a fax alleging sexual misconduct by a member of the New England Patriots football team. The case proceeds in real time, allowing students to experience the pressures of a newsroom deadline.</p>_x000d_
<p>_x000d_
	<strong>This is a video case.</strong></p>_x000d_
<p>_x000d_
	<b>Topics: </b>ethics; editorial decisionmaking; broadcast</p>_x000d_
",5.95,,necn.jpg,NECN Teaching Note.pdf,NECN Epilogue.pdf,Picture3.jpg,necn_video.jpg,,#c30,#c30,yes,yes,3columns,,17,1,11/21/2008,
12,Chemical Fallout,Chemical Fallout: The Milwaukee <i>Journal Sentinel</i> and the BPA Story,CSJ-08-0017.0,science reporting; investigative reporting,Danielle Haas,Milwaukee Journal Sentinel,,"30, 23",,,"<p>_x000d_
	<img align=""right"" alt="""" src=""/casestudy/files/photos/238/chemical.jpg"" /><i>CSJ-08-0017.0</i><br />_x000d_
	This case looks at the challenges that confront science reporters as they seek to determine what is the &ldquo;truth&rdquo; among competing scientific claims. In summer 2007, the Milwaukee <i>Journal Sentinel</i> launched an investigation into the chemical compound bisphenol A (BPA). An editor asks the reporters to determine for themselves whether BPA is safe or not. Accustomed to telling &ldquo;balanced&rdquo;&nbsp;he said/she said-style stories, this thrusts the reporting team&mdash;especially its science reporter&mdash;into unknown territory.</p>_x000d_
<p>_x000d_
	Epilogue, Teaching Note</p>_x000d_
<p>_x000d_
	<b>Topics: </b>science reporting; investigative reporting</p>_x000d_
",5.95,Milwaukee Journal Sentinel and the BPA story_wm.pdf,chemical fallout.jpg,Chemical Fallout Teaching Note.pdf,Chemical Fallout Epilogue.pdf,chemfallout_banner.jpg,chemical.jpg,,#ad36a9,#ad36ad,yes,,standard,,17,1,12/9/2008,
14,Reporting an Explosive Truth,Reporting an Explosive Truth: The <i>Boston Globe</i> and Sexual Abuse in the Catholic Church ,CSJ-09-0011.0,investigative reporting; religion reporting,David Mizner,Boston Globe,,"12, 23",,,"<p>_x000d_
	<img align=""right"" alt="""" src=""/casestudy/files/photos/231/Picture 1.jpg"" /></p>_x000d_
<p>_x000d_
	<i>CSJ-09-</i><i>0011.0</i><br />_x000d_
	<span>This case is about the calculus a news organization must make when it uncovers a story that incriminates the most powerful institution in its community. In 2001, the <i>Boston Globe</i></span>&#39;s investigative unit discovered several instances of Catholic priests sexually abusing children. Students will be able to examine investigative techniques as well as the special challenges of covering religion, and gain insight into the personal toll on journalists of covering misdeeds in one&#39;s own church.</p>_x000d_
<p>_x000d_
	Epilogue, Teaching Note</p>_x000d_
<p>_x000d_
	<b>Topics: </b>investigative reporting; religion reporting</p>_x000d_
",5.95,Boston Globe and Sexual Abuse in the Catholic Church_wm.pdf,globe.jpg,Boston Globe Teaching Note.pdf,Boston Globe Epilogue.pdf,banner.jpg,globe.jpg,,#996632,#996632,yes,,standard,,17,1,12/17/2008,
15,Charting a Course for Change,Charting a Course for Change: Transforming the Albany <i>Times Union </i>in a Wired World,CSJ-07-0002.0,strategic management; digital media,Rachel Templeton,Albany Times Union ,,"29, 38",,,"<p>_x000d_
	<img align=""right"" alt="""" src=""/casestudy/files/photos/242/times union.gif"" /><i>CSJ-07-0002.0</i><br />_x000d_
	This case study takes students inside the strategic thinking of the executive team at the Albany <em>Times Union</em>, a prototypical regional newspaper. Like other newspapers, it faced the challenge of transforming from a traditional ink-on-paper product to a hybrid paper/Web product.</p>_x000d_
<p>_x000d_
	Epilogue, Teaching Note</p>_x000d_
<p>_x000d_
	<b>Topics: </b>strategic management; digital media</p>_x000d_
",5.95,Transforming the Albany Times Union in a Wired World_wm.pdf,timesunion.jpg,Times Union Teaching Note.pdf,Times Union Epilogue.pdf,knightcase_logo.jpg,timesunion.jpg,,#003399,#666666,yes,,standard,,17,1,1/14/2009,
16,From Concept to Story,"From Concept to Story: <i>Time</i> Magazine and ""America at 300 Million""",CSJ-07-0001.0,editorial decisionmaking; news graphics,Kathleen Gilsinan,Time Magazine,,2,,,"<p>_x000d_
	<img align=""right"" alt="""" src=""/casestudy/files/photos/243/time magazine.gif"" /><i>CSJ-07-0001.0</i><br />_x000d_
	This case study tells the story of how one editor at <i>Time</i> Magazine took a concept&mdash;create a &ldquo;mirror on America&rdquo;&mdash;and translated it into 12 pages in the magazine. The case describes the kind of decisions editors have to make on a daily basis.</p>_x000d_
<p>_x000d_
	Epilogue, Teaching Note</p>_x000d_
<p>_x000d_
	<b>Topics:</b> editorial decisionmaking; news graphics</p>_x000d_
",5.95,Time Magazine and America at 300 Million_wm.pdf,abstract.jpg,TIME Teaching Note.pdf,TIME Epilogue.pdf,knightcase_logo.jpg,timemagazine.jpg,,#cc3333,#cc3333,yes,,standard,,17,1,1/14/2009,
17,Bakersfield,The Bakersfield <i>Californian</i> and Blogging the Courtroom,CSJ-08-0003.0,digital media; newsroom management; blogging,Delia Flores,Bakersfield Californian,,"19,28",,,"<p>_x000d_
	<img align=""right"" alt="""" src=""/casestudy/files/photos/244/bakersfield.gif"" /><i>CSJ-08-0003.0</i><br />_x000d_
	This case is about the professional conflict one journalist at the Bakersfield <i>Californian</i> experiences when editors ask her to &ldquo;blog&quot; from a trial she is covering. In the blog, which appears within a special section of the Bakersfield.com website, she is asked to offer informal observations and commentary on the complicated murder case.</p>_x000d_
<p>_x000d_
	Epilogue, Teaching Note<br />_x000d_
	<br />_x000d_
	<b>Topics: </b>digital media; newsroom management; blogging</p>_x000d_
",5.95,Bakersfield Californian and Blogging the Courtroom_wm.pdf,abstract.jpg,Bakersfield Teaching Note.pdf,Bakersfield Epilogue.pdf,knightcase_logo.jpg,bakersfield.jpg,,#996632,#996632,yes,,standard,,17,1,1/15/2009,
18,New England Cable News Text,New England Cable News and the Terry Glenn Story,CSJ-08-0004.0,ethics; editorial decisionmaking; broadcast,David Mizner,New England Cable News,,"21, 28",,,"<p>_x000d_
	<i><img align=""right"" alt="""" src=""/casestudy/files/photos/239/necn.jpg"" />CSJ-08-0004.0<br />_x000d_
	</i>This text+video case is about how a news organization, New England Cable News (NECN), handles the arrival of a fax alleging sexual misconduct by a member of the New England Patriots football team. The case proceeds in real time, allowing students to experience the pressures of a newsroom deadline.</p>_x000d_
<p>_x000d_
	<strong>This is a video case.</strong></p>_x000d_
<p>_x000d_
	Epilogue, Teaching Note</p>_x000d_
<p>_x000d_
	<b>Topics: </b>ethics; editorial decisionmaking; broadcast</p>_x000d_
<p>_x000d_
	<b><i>Faculty</i></b><i>: You will have an opportunity to review the video case once you have registered. </i></p>_x000d_
",5.95,New England Cable News and the Terry Glenn Story_wm.pdf,necn.jpg,NECN Teaching Note.pdf,NECN Epilogue.pdf,knightcase_logo.jpg,necn_background.jpg,,#09704a,#1f805c,yes,,standard,,17,1,1/15/2009,
19,Crowdsourcing A,"Crowdsourcing: Promise or Hazard? Part A: Debate at the Fort Myers, FL, <i>News-Press</i>",CSJ-08-0008.0,digital media; newsroom management; media business,Kathleen Gilsinan,"Fort Myers, FL, News-Press",,"28,19",,,"<p>_x000d_
	<img align=""right"" alt="""" src=""/casestudy/files/photos/245/crowdsourcing_a.gif"" /><i>CSJ-08-0008.0</i><br />_x000d_
	This two-part case looks at the research method &ldquo;crowdsourcing,&rdquo; pioneered by the private sector (The Wisdom of Crowds), and examines its usefulness. The Fort Myers (FL) <i>News-Press</i> and Gannett executives believe crowdsourcing &mdash;turning to consumers for expertise and information&mdash;holds promise for newspapers.</p>_x000d_
<p>_x000d_
	Teaching Note</p>_x000d_
<p>_x000d_
	<b>Topics: </b>digital media; newsroom management; media business</p>_x000d_
<p>_x000d_
	<i>This case can be used alone, or in combination with Part B. The two parts can be taught together, or in successive class sessions.</i></p>_x000d_
",3.00,Crowdsourcing Text Part A_wm.pdf,crowdsourcing-a.jpg,Crowdsourcing Teaching Note.pdf,,knightcase_logo.jpg,crowdsourcing_a.jpg,,#996632,#996632,yes,,standard,20,17,1,1/15/2009,
20,Crowdsourcing B,"Crowdsourcing at the Fort Myers, FL, <i>News-Press</i> Part B: ""Help Us Investigate""",CSJ-08-0008.1,digital media; newsroom management; media business,Kathleen Gilsinan,"Fort Myers, FL, News-Press",,"19, 17",,,"<p>_x000d_
	<img align=""right"" alt="""" src=""/casestudy/files/photos/246/crowdsourcing_b.jpg"" /><i>CSJ-08-0008.1</i><br />_x000d_
	This two-part case looks at the research method &ldquo;crowdsourcing,&rdquo; pioneered by the private sector (The Wisdom of Crowds), and examines its usefulness. The Fort Myers (FL) <i>News-Press</i> and Gannett executives believe crowdsourcing &mdash;turning to consumers for expertise and information&mdash;holds promise for newspapers.</p>_x000d_
<p>_x000d_
	Teaching Note</p>_x000d_
<p>_x000d_
	<b>Topics: </b>digital media; newsroom management; media business</p>_x000d_
<p>_x000d_
	<i>This case should be used in combination with Part A. The two parts can be taught together, or in successive class sessions.</i></p>_x000d_
",3.00,Crowdsourcing Text Part B_wm.pdf,crowdsourcing-b.jpg,Crowdsourcing Teaching Note.pdf,,knightcase_logo.jpg,crowdsourcing_b.jpg,,#996632,#996632,yes,,standard,,17,1,1/15/2009,
21,Integrity on Deadline,Integrity on Deadline: ABC News and the Duke Lacrosse Photographs,CSJ-08-0007.0,ethics; editorial decisionmaking; gender & race; broadcast,Rachel Templeton; Pamela Varley,ABC News,,"18, 25",,,"<p>_x000d_
	<i><img align=""right"" alt="""" src=""/casestudy/files/photos/247/abc.gif"" />CSJ-08-0007.0</i><br />_x000d_
	This case describes ABC News and its early coverage of an alleged rape by members of the Duke University lacrosse team in 2006. The narrative stops at a point in mid-April when the ABC News Vice President for Editorial Quality, Kerry Smith, had to decide whether or not to broadcast photographs from the party at which the alleged rape took place.</p>_x000d_
<p>_x000d_
	Epilogue, Teaching Note</p>_x000d_
<p>_x000d_
	<b>Topics:</b> ethics; editorial decisionmaking; gender &amp; race</p>_x000d_
",5.95,ABC News and the Duke Lacrosse Photographs_wm.pdf,abc.jpg,ABC Teaching Note.pdf,ABC Epilogue.pdf,knightcase_logo.jpg,abc.jpg,,#003399,#006699,yes,,standard,,17,1,1/16/2009,
22,Reputations to Lose,Reputations to Lose: BBC versus the Blair Government,CSJ-08-0009.0,strategic management; international; broadcast,Kirsten Lundberg,BBC,,"1, 43",,,"<p>_x000d_
	<i><img align=""right"" alt="""" src=""/casestudy/files/photos/248/bbc.gif"" />CSJ-08-0009.0</i><br />_x000d_
	This case is about the choices a publicly-funded news organization has to make when the government of the day attacks its editorial independence. In June 2003, what had been a short, live, early-morning exchange between a radio host and a British Broadcasting Corporation (BBC) reporter escalated into a full-scale war, which pitted the BBC against Prime Minister Tony Blair&rsquo;s government.</p>_x000d_
<p>_x000d_
	Epilogue, Teaching Note</p>_x000d_
<p>_x000d_
	<b>Topics: </b>strategic management; international</p>_x000d_
",5.95,BBC versus the Blair Government_wm.pdf,bbc-blair.jpg,BBC Teaching Note.pdf,BBC Epilogue.pdf,knightcase_logo.jpg,bbc.jpg,,#663366,#663366,yes,,standard,,17,1,1/16/2009,
23,After the Storms,After the Storms: The South Florida <i>Sun-Sentinel</i> Investigates FEMA,CSJ-08-0010.0,investigative reporting; newsroom management,Kathleen Gilsinan,South Florida Sun-Sentinel,,"12, 14",,,"<p>_x000d_
	<i><img align=""right"" alt="""" src=""/casestudy/files/photos/249/sun-sentinel.gif"" />CSJ-08-0010.0</i><br />_x000d_
	This case is about the challenges of investigative reporting. The South Florida <i>Sun-Sentinel </i>began in the fall of 2004 to investigate the consequences of a wave of hurricanes on their region. Eventually, the reporting team discovered widespread fraud by Federal Emergency Management Agency (FEMA) aid recipients, as well as instances of complicit FEMA inspectors, many of whom had criminal backgrounds.</p>_x000d_
<p>_x000d_
	Epilogue, Teaching Note</p>_x000d_
<p>_x000d_
	<b>Topics: </b>investigative reporting; newsroom management</p>_x000d_
",5.95,South FLorida Sun Sentinel Investigates FEMA_wm.pdf,sun-sentinel.jpg,Sun-Sentinel Teaching Note.pdf,Sun-Sentinel Epilogue.pdf,knightcase_logo.jpg,sun-sentinel.jpg,,#003399,#006699,yes,,standard,,17,1,1/20/2009,
24,Life on the Line,A Life on the Line: The <i>Christian Science Monitor</i> and Jill Carroll,CSJ-08-0012.0,crisis management; international,Delia Cabe,Christian Science Monitor,,22,Free,This case treats the hard choices which confront a news organization when violence strikes one of its reporters. Use in course/class on international reporting or crisis management. ,"<div style=""padding: 10px; float: right;"">_x000d_
	<img alt="""" src=""/casestudy/files/photos/315/csm.jpg"" /></div>_x000d_
<p>_x000d_
	<i>CSJ-08-0012.0</i><br />_x000d_
	This case treats the hard choices which confront a news organization when violence strikes one of its reporters. Students will have a chance to consider how to structure a crisis response; how to manage competing interests; and how to sustain an effort past the first adrenalin-fueled moments into weeks of frustrating but crucial work.</p>_x000d_
<p>_x000d_
	<strong>This is a FREE case.</strong><br />_x000d_
	<br />_x000d_
	Epilogue, Teaching Note</p>_x000d_
<p>_x000d_
	<b>Topics: </b>crisis management; international</p>_x000d_
",5.95,Monitor Text.pdf,csm.jpg,Monitor Teaching Note.pdf,Monitor Epilogue.pdf,knightcase_logo.jpg,csm.jpg,csm_office_img_assist_custom.jpg,#cc6600,#993300,no,,standard,,17,1,1/20/2009,
25,"Public Death, Private Life","Public Death, Private Life: Army Major Alan Rogers and the <i> Washington Post</i>",CSJ-09-0016.0, ethics; gender & race; privacy,Julia Ioffe,Washington Post,,"27, 28",,,"<div style=""padding: 10px; float: right;"">_x000d_
	<img alt="""" src=""/casestudy/files/photos/278/rogers abstract small.jpg"" /></div>_x000d_
<p>_x000d_
	<i><span>CSJ-09-0016.0</span></i><br />_x000d_
	<span>This case examines the challenges of reporting on a private individual&rsquo;s sexual orientation. In March 2008, the <i>Washington Post</i>&nbsp;was tipped that a decorated Army major&nbsp;had been the first&nbsp;openly gay military officer killed in Iraq. But as the <i>Post</i> reported the story, it discovered that it was far from clear that he was open about his sexuality, especially to his military colleagues. How should the <i>Post</i> cover his death?</span></p>_x000d_
<p>_x000d_
	Epilogue, Teaching Note</p>_x000d_
<p>_x000d_
	<b>Topics: </b> ethics; gender &amp; race; privacy</p>_x000d_
",5.95,Army Major Alan Rogers and the Washington Post_wm.pdf,rogers abstract.jpg,Rogers and WaPost Teaching Note.pdf,Rogers and WaPost Epilogue.pdf,knightcase_logo_rogers.JPG,rogers.jpg,,#0710b5,#0710b5,yes,,standard,,17,1,3/25/2009,
27,Privacy and the Public Interest,"Privacy and the Public Interest: Frederick, MD, <i>News-Post</i> and the Bruce Ivins Story",CSJ-08-0015.0PO,ethics; privacy,Kathleen Gilsinan,"Frederick, MD, News-Post",,25,,,"<div style=""padding: 10px; float: right;"">_x000d_
	<img alt="""" src=""/casestudy/files/photos/284/text only image.jpg"" /></div>_x000d_
<p>_x000d_
	<i>CSJ-08-0015.0PO</i><br />_x000d_
	This two-part case is about how the media balances personal right to privacy against the public right to know. Students are asked to consider what are the obligations of a newspaper to its readers, and to those it writes about.</p>_x000d_
<p>_x000d_
	Part B, Teaching Note</p>_x000d_
<p>_x000d_
	<b>Topics:</b> ethics; privacy</p>_x000d_
<p>_x000d_
	<b><i>Faculty</i></b><i>: You will have an opportunity to review Part B once you have registered.</i></p>_x000d_
",5.95,News Post and the Bruce Ivins Story Part A_wm.pdf,Ivins Part A abstract.jpg,Ivins Teaching Note.pdf,News Post and the Bruce Ivins Story Part B.pdf,Website_banner.jpg,text_only.jpg,,#2947a3,#2947a3,yes,,standard,,17,1,4/7/2009,
28,News or Rumor,News or Rumor? <i>Politico</i> and the Edwards Affair ,CSJ-08-0018.0PO,ethics; blogging; celebrity reporting,Kathleen Gilsinan,Politico,,"28,19",,,"<div style=""padding: 10px; float: right;"">_x000d_
	<img alt="""" src=""/casestudy/files/photos/284/text only image.jpg"" /></div>_x000d_
<p>_x000d_
	<i>CSJ-08-0018.0PO</i><br />_x000d_
	This case is about how journalists make daily decisions on what to write, and what not to write. Students are asked to weigh the credibility of different sources of news, and discuss different standards of accuracy for blogs, tabloids, and more mainstream news outlets. They can also discuss the fine line between privacy and the public&#39;s right to know.</p>_x000d_
<p>_x000d_
	Teaching Note</p>_x000d_
<p>_x000d_
	<b>Topics: </b>ethics; blogging; celebrity reporting</p>_x000d_
",3.95,Politico and the Edwards Affair_wm.pdf,edwards.jpg,Edwards Teaching Note.pdf,,Website_banner.jpg,text_only.jpg,,#2947a3,#2947a3,yes,,standard,,17,1,4/7/2009,
29,Digital Deadline,Digital Deadline: The St. Louis <i>Post-Dispatch</i> and the Kirkwood Shooting,CSJ-09-0014.0,digital media; crisis reporting,Kathleen Gilsinan,St. Louis Post-Dispatch,,"33, 15",,,"<div style=""padding: 10px; float: right;"">_x000d_
	<img alt="""" src=""/casestudy/files/photos/287/pd abstract small.jpg"" /></div>_x000d_
<p>_x000d_
	<i>CSJ-09-0014.0</i><br />_x000d_
	This case about the St. Louis, MO, <i>Post-Dispatch</i> addresses how to manage a breaking story online when it could have traumatic effects on the local community. It also raises the challenge for editors of deciding what to put in the paper once a story has broken on the website.&nbsp;<br />_x000d_
	<br />_x000d_
	Epilogue, Teaching Note</p>_x000d_
<p>_x000d_
	<b>Topics: </b>digital media; crisis reporting</p>_x000d_
",5.95,St Louis Post Dispatch and the Kirkwood Shooting_wm.pdf,post-dispatch.jpg,Post-Dispatch Teaching Note.pdf,Post-Dispatch Epilogue.pdf,knightcase_logo.jpg,postdispatch.jpg,,#c91e1e,#c91e1e,yes,,standard,,17,1,4/7/2009,
30,God and Darwin,God and Darwin: The <i>York Daily Record</i> and the Intelligent Design Trial,CSJ-09-0020.0,science reporting; religion reporting; education reporting,Kathleen Gilsinan,York Daily Record,,"12, 14",,,"<div style=""padding: 10px; float: right;"">_x000d_
	<img alt="""" src=""/casestudy/files/photos/331/abstract small.jpg"" /></div>_x000d_
<p>_x000d_
	<i>CSJ-09-0020.0</i><br />_x000d_
	This case examines the challenge of providing balanced coverage of a court case when the trial is about science, and the reporter believes the science on one side is flawed. <span>Students can debate the proper role of a newspaper serving its local community&mdash;to reflect local mores and values, or to challenge them?</span></p>_x000d_
<p>_x000d_
	Epilogue, Teaching Note</p>_x000d_
<p>_x000d_
	<b>Topics:</b> science reporting; religion reporting</p>_x000d_
",5.95,York Daily Record and the Intelligent Design Trial_wm.pdf,abstract.jpg,York Daily Record Teaching Note.pdf,York Daily Record Epilogue.pdf,kngihtcase_logo_godanddarwin.JPG,godanddarwin.jpg,,#ab4915,#ab4915,yes,,standard,,17,1,4/14/2009,
31,Elusive Story,Elusive Story (dead),<strong>CSJ-09-0019.0</strong>,,,,,"30, 2",,,"<div style=""padding: 10px; float: right;"">_x000d_
	<img alt="""" src=""/casestudy/files/photos/342/abstract small.jpg"" /></div>_x000d_
<p>_x000d_
	<i>CSJ-09-0019.0</i><br />_x000d_
	<span>This case study examines long-form journalism, and the dilemma for a reporter when the story she intends to write is not the story she uncovers. It also examines the responsibility of a reporter to a source unfamiliar with journalistic conventions. </span></p>_x000d_
<p>_x000d_
	<b>Topics: </b>education reporting; ethics</p>_x000d_
",5.95,Chicago Tribune Text.pdf,abstract.jpg,Chicago Tribune Teaching Note.pdf,Chicago Tribune Epilogue.pdf,knightcase_logo_chitrib.JPG,,,#330694,#330694,yes,,standard,,2,2,5/7/2009,
